NOC;Edition;Sport;Bronze;Gold;Silver
FRA;1924;Gymnastics;1;1;3
FRA;1924;Equestrian;1;;
FRA;1924;Boxing;1;;
FRA;1924;Wrestling;;1;
FRA;1924;Weightlifting;;2;
FRA;1924;Shooting;;1;1
FRA;1924;Rugby;;;1
FRA;1924;Rowing;;;3
FRA;1924;Fencing;;3;3
FRA;1924;Aquatics;;1;
FRA;1908;Shooting;2;;
FRA;1908;Cycling;2;1;2
FRA;1908;Sailing;1;;
FRA;1908;Gymnastics;1;;
FRA;1908;Fencing;1;2;1
FRA;1908;Athletics;1;;1
FRA;1908;Archery;1;1;1
FRA;1908;Water Motorsports;;1;
FRA;2012;Wrestling;1;;
FRA;2012;Tennis;1;;1
FRA;2012;Taekwondo;1;;1
FRA;2012;Shooting;1;;1
FRA;2012;Sailing;1;;
FRA;2012;Judo;1;2;
FRA;2012;Gymnastics;1;;
FRA;2012;Aquatics;1;4;2
FRA;2012;Rowing;;;1
FRA;2012;Handball;;1;
FRA;2012;Cycling;;1;3
FRA;2012;Canoe / Kayak;;2;
FRA;2012;Basketball;;;1
FRA;2012;Athletics;;1;1
FRA;1972;Judo;3;;
FRA;1972;Fencing;2;;1
FRA;1972;Canoe / Kayak;1;;
FRA;1972;Athletics;1;;1
FRA;1972;Shooting;;;1
FRA;1972;Sailing;;1;1
FRA;1972;Cycling;;1;
FRA;1988;Aquatics;2;;
FRA;1988;Judo;1;1;
FRA;1988;Equestrian;1;1;1
FRA;1988;Canoe / Kayak;1;;
FRA;1988;Athletics;1;;
FRA;1988;Shooting;;;1
FRA;1988;Sailing;;2;
FRA;1988;Fencing;;2;1
FRA;1988;Boxing;;;1
FRA;1964;Fencing;3;;2
FRA;1964;Cycling;2;;
FRA;1964;Athletics;1;;1
FRA;1964;Rowing;;;1
FRA;1964;Equestrian;;1;1
FRA;1964;Canoe / Kayak;;;1
FRA;1964;Boxing;;;1
FRA;1964;Aquatics;;;1
FRA;1956;Fencing;2;1;1
FRA;1956;Boxing;2;;
FRA;1956;Weightlifting;1;;
FRA;1956;Rowing;1;;
FRA;1956;Cycling;;2;2
FRA;1956;Canoe / Kayak;;;1
FRA;1956;Athletics;;1;
FRA;1952;Fencing;1;2;
FRA;1952;Equestrian;1;1;1
FRA;1952;Cycling;1;;
FRA;1952;Canoe / Kayak;1;1;
FRA;1952;Boxing;1;;
FRA;1952;Aquatics;1;1;2
FRA;1952;Rowing;;1;1
FRA;1952;Athletics;;;2
FRA;1936;Rowing;2;;
FRA;1936;Cycling;2;3;2
FRA;1936;Shooting;1;;
FRA;1936;Fencing;1;;2
FRA;1936;Wrestling;;1;
FRA;1936;Weightlifting;;1;
FRA;1936;Equestrian;;;1
FRA;1936;Canoe / Kayak;;;1
FRA;1936;Boxing;;2;
FRA;1968;Modern Pentathlon;1;;
FRA;1968;Fencing;1;1;
FRA;1968;Cycling;1;4;
FRA;1968;Athletics;1;1;
FRA;1968;Aquatics;1;;
FRA;1968;Wrestling;;;2
FRA;1968;Equestrian;;1;1
FRA;1928;Wrestling;2;;1
FRA;1928;Weightlifting;1;1;1
FRA;1928;Athletics;1;1;1
FRA;1928;Aquatics;1;;
FRA;1928;Sailing;;1;
FRA;1928;Rowing;;;1
FRA;1928;Fencing;;2;2
FRA;1928;Equestrian;;;2
FRA;1928;Cycling;;2;
FRA;1928;Boxing;;;1
FRA;1976;Fencing;2;;1
FRA;1976;Judo;1;;
FRA;1976;Gymnastics;1;;
FRA;1976;Weightlifting;;;1
FRA;1976;Equestrian;;1;
FRA;1976;Cycling;;;1
FRA;1976;Athletics;;1;
FRA;1932;Wrestling;1;1;
FRA;1932;Rowing;1;;
FRA;1932;Cycling;1;1;2
FRA;1932;Athletics;1;;
FRA;1932;Weightlifting;;3;
FRA;1932;Sailing;;1;
FRA;1932;Fencing;;2;1
FRA;1932;Equestrian;;2;1
FRA;1932;Aquatics;;;1
FRA;1980;Judo;1;2;1
FRA;1980;Fencing;1;4;1
FRA;1980;Athletics;1;;
FRA;1980;Cycling;;;2
FRA;1980;Canoe / Kayak;;;1
FRA;1960;Wrestling;1;;
FRA;1960;Equestrian;1;;
FRA;1960;Athletics;1;;1
FRA;1960;Rowing;;;1
FRA;1912;Tennis;2;3;
FRA;1912;Equestrian;1;1;1
FRA;1912;Shooting;;2;
FRA;1912;Sailing;;1;
FRA;1912;Gymnastics;;;1
FRA;1912;Athletics;;;2
FRA;1896;Cycling;1;4;1
FRA;1896;Athletics;1;;1
FRA;1896;Fencing;;1;2
GER;1936;Athletics;7;5;4
GER;1936;Gymnastics;6;6;1
GER;1936;Wrestling;4;;3
GER;1936;Aquatics;3;;4
GER;1936;Weightlifting;2;1;2
GER;1936;Fencing;2;;1
GER;1936;Canoe / Kayak;2;2;3
GER;1936;Sailing;1;1;1
GER;1936;Rowing;1;5;1
GER;1936;Cycling;1;2;
GER;1936;Boxing;1;2;2
GER;1936;Shooting;;1;2
GER;1936;Modern Pentathlon;;1;
GER;1936;Hockey;;;1
GER;1936;Handball;;1;
GER;1936;Equestrian;;6;1
GER;1992;Aquatics;8;1;3
GER;1992;Athletics;5;4;1
GER;1992;Rowing;3;4;3
GER;1992;Weightlifting;2;1;
GER;1992;Judo;2;;
GER;1992;Gymnastics;2;;1
GER;1992;Equestrian;2;3;2
GER;1992;Canoe / Kayak;2;7;2
GER;1992;Shooting;1;2;
GER;1992;Boxing;1;2;1
GER;1992;Wrestling;;1;2
GER;1992;Tennis;;1;1
GER;1992;Table Tennis;;;1
GER;1992;Hockey;;1;1
GER;1992;Fencing;;2;1
GER;1992;Cycling;;4;2
GER;1996;Aquatics;7;;7
GER;1996;Judo;4;1;
GER;1996;Boxing;3;;1
GER;1996;Athletics;3;3;1
GER;1996;Wrestling;2;;1
GER;1996;Canoe / Kayak;2;5;2
GER;1996;Weightlifting;1;;2
GER;1996;Tennis;1;;
GER;1996;Table Tennis;1;;
GER;1996;Rowing;1;2;1
GER;1996;Fencing;1;;
GER;1996;Cycling;1;1;
GER;1996;Shooting;;2;2
GER;1996;Sailing;;1;
GER;1996;Gymnastics;;1;
GER;1996;Equestrian;;4;
GER;1996;Archery;;;1
GER;2000;Aquatics;5;;
GER;2000;Rowing;3;2;1
GER;2000;Fencing;3;;2
GER;2000;Cycling;3;3;4
GER;2000;Canoe / Kayak;3;4;1
GER;2000;Athletics;2;2;1
GER;2000;Volleyball;1;;
GER;2000;Sailing;1;;2
GER;2000;Judo;1;;
GER;2000;Football;1;;
GER;2000;Equestrian;1;2;1
GER;2000;Boxing;1;;
GER;2000;Archery;1;;
GER;2000;Weightlifting;;;2
GER;2000;Triathlon;;;1
GER;2000;Tennis;;;1
GER;2000;Taekwondo;;;1
GER;2004;Cycling;4;1;1
GER;2004;Aquatics;4;;2
GER;2004;Judo;3;1;
GER;2004;Equestrian;2;1;1
GER;2004;Boxing;2;;
GER;2004;Hockey;1;1;
GER;2004;Gymnastics;1;1;
GER;2004;Football;1;;
GER;2004;Fencing;1;;1
GER;2004;Canoe / Kayak;1;4;4
GER;2004;Tennis;;;1
GER;2004;Shooting;;2;1
GER;2004;Rowing;;2;2
GER;2004;Handball;;;1
GER;2004;Athletics;;;2
GER;1952;Athletics;5;;3
GER;1952;Equestrian;4;;1
GER;1952;Canoe / Kayak;3;;
GER;1952;Cycling;2;;
GER;1952;Aquatics;2;;
GER;1952;Sailing;1;;
GER;1952;Boxing;1;;1
GER;1952;Rowing;;;1
GER;1952;Gymnastics;;;1
GER;2008;Shooting;3;;1
GER;2008;Canoe / Kayak;3;3;2
GER;2008;Aquatics;2;2;1
GER;2008;Sailing;1;;
GER;2008;Rowing;1;;1
GER;2008;Gymnastics;1;;1
GER;2008;Football;1;;
GER;2008;Equestrian;1;3;1
GER;2008;Cycling;1;1;1
GER;2008;Athletics;1;;
GER;2008;Wrestling;;;1
GER;2008;Weightlifting;;1;
GER;2008;Triathlon;;1;
GER;2008;Table Tennis;;;1
GER;2008;Modern Pentathlon;;1;
GER;2008;Judo;;1;
GER;2008;Hockey;;1;
GER;2008;Fencing;;2;
GER;1928;Athletics;6;1;2
GER;1928;Wrestling;1;1;2
GER;1928;Weightlifting;1;2;
GER;1928;Modern Pentathlon;1;;
GER;1928;Hockey;1;;
GER;1928;Fencing;1;1;1
GER;1928;Equestrian;1;2;
GER;1928;Cycling;1;;
GER;1928;Aquatics;1;2;1
GER;1928;Rowing;;1;
GER;1928;Boxing;;;1
GER;2012;Canoe / Kayak;3;3;2
GER;2012;Athletics;3;1;4
GER;2012;Table Tennis;2;;
GER;2012;Taekwondo;1;;
GER;2012;Judo;1;;2
GER;2012;Fencing;1;;1
GER;2012;Equestrian;1;2;1
GER;2012;Cycling;1;1;4
GER;2012;Volleyball;;1;
GER;2012;Rowing;;2;1
GER;2012;Gymnastics;;;3
GER;2012;Field hockey;;1;
GER;2012;Aquatics;;;1
GER;1912;Aquatics;3;3;5
GER;1912;Tennis;1;1;1
GER;1912;Shooting;1;;1
GER;1912;Rowing;1;1;
GER;1912;Equestrian;1;;3
GER;1912;Wrestling;;;1
GER;1912;Athletics;;;2
GER;1908;Rowing;2;;
GER;1908;Skating;1;1;1
GER;1908;Cycling;1;;1
GER;1908;Athletics;1;;1
GER;1908;Aquatics;1;2;1
GER;1908;Tennis;;;1
GER;1932;Athletics;3;;2
GER;1932;Wrestling;1;1;2
GER;1932;Weightlifting;1;1;1
GER;1932;Shooting;;;1
GER;1932;Rowing;;1;2
GER;1932;Boxing;;;3
GER;1932;Aquatics;;;1
GER;1904;Aquatics;3;4;3
GER;1904;Gymnastics;1;;1
GER;1904;Athletics;1;;
GER;1896;Gymnastics;2;5;3
GER;1896;Wrestling;;1;
GER;1896;Cycling;;;1
GER;1896;Athletics;;;1
GER;1900;Rowing;1;1;
GER;1900;Sailing;;;1
GER;1900;Rugby;;;1
GER;1900;Aquatics;;2;
ITA;2000;Judo;3;1;
ITA;2000;Fencing;2;3;
ITA;2000;Aquatics;2;3;1
ITA;2000;Volleyball;1;;
ITA;2000;Shooting;1;;1
ITA;2000;Rowing;1;1;2
ITA;2000;Cycling;1;2;
ITA;2000;Canoe / Kayak;1;2;
ITA;2000;Boxing;1;;
ITA;2000;Sailing;;1;1
ITA;2000;Athletics;;;2
ITA;2000;Archery;;;1
ITA;1960;Fencing;3;2;1
ITA;1960;Gymnastics;2;;1
ITA;1960;Athletics;2;1;
ITA;1960;Weightlifting;1;;
ITA;1960;Sailing;1;;
ITA;1960;Rowing;1;;1
ITA;1960;Equestrian;1;1;1
ITA;1960;Cycling;1;5;1
ITA;1960;Boxing;1;3;3
ITA;1960;Shooting;;;1
ITA;1960;Canoe / Kayak;;;1
ITA;1960;Aquatics;;1;
ITA;1996;Shooting;2;2;1
ITA;1996;Fencing;2;3;2
ITA;1996;Athletics;2;;2
ITA;1996;Aquatics;2;;
ITA;1996;Sailing;1;;
ITA;1996;Judo;1;;1
ITA;1996;Canoe / Kayak;1;2;2
ITA;1996;Archery;1;;
ITA;1996;Volleyball;;;1
ITA;1996;Rowing;;1;
ITA;1996;Gymnastics;;1;
ITA;1996;Cycling;;4;1
ITA;1984;Fencing;3;3;1
ITA;1984;Athletics;3;3;1
ITA;1984;Boxing;2;1;2
ITA;1984;Volleyball;1;;
ITA;1984;Shooting;1;1;1
ITA;1984;Sailing;1;;
ITA;1984;Modern Pentathlon;1;2;
ITA;1984;Wrestling;;1;
ITA;1984;Weightlifting;;1;
ITA;1984;Rowing;;1;
ITA;1984;Judo;;;1
ITA;1984;Cycling;;1;
ITA;1932;Wrestling;2;1;1
ITA;1932;Gymnastics;2;4;1
ITA;1932;Fencing;2;2;4
ITA;1932;Athletics;2;1;
ITA;1932;Weightlifting;1;;1
ITA;1932;Shooting;1;1;
ITA;1932;Rowing;1;;2
ITA;1932;Cycling;1;3;1
ITA;1932;Boxing;;;2
ITA;2004;Rowing;3;;
ITA;2004;Sailing;1;;
ITA;2004;Judo;1;;
ITA;2004;Gymnastics;1;1;1
ITA;2004;Football;1;;
ITA;2004;Fencing;1;3;3
ITA;2004;Boxing;1;;
ITA;2004;Athletics;1;2;
ITA;2004;Aquatics;1;1;1
ITA;2004;Volleyball;;;1
ITA;2004;Shooting;;1;2
ITA;2004;Cycling;;1;
ITA;2004;Canoe / Kayak;;;2
ITA;2004;Basketball;;;1
ITA;2004;Archery;;1;
ITA;2012;Gymnastics;2;;
ITA;2012;Fencing;2;3;2
ITA;2012;Volleyball;1;;
ITA;2012;Judo;1;;
ITA;2012;Cycling;1;;
ITA;2012;Boxing;1;;2
ITA;2012;Athletics;1;;
ITA;2012;Aquatics;1;;1
ITA;2012;Taekwondo;;1;
ITA;2012;Shooting;;2;3
ITA;2012;Rowing;;;1
ITA;2012;Canoe / Kayak;;1;
ITA;2012;Archery;;1;
ITA;2008;Fencing;5;2;
ITA;2008;Sailing;1;;1
ITA;2008;Cycling;1;;
ITA;2008;Canoe / Kayak;1;;1
ITA;2008;Boxing;1;1;1
ITA;2008;Athletics;1;1;
ITA;2008;Wrestling;;1;
ITA;2008;Taekwondo;;;1
ITA;2008;Shooting;;1;2
ITA;2008;Rowing;;;1
ITA;2008;Judo;;1;
ITA;2008;Archery;;;1
ITA;2008;Aquatics;;1;1
ITA;1972;Aquatics;3;1;2
ITA;1972;Wrestling;2;;
ITA;1972;Athletics;2;;
ITA;1972;Weightlifting;1;;
ITA;1972;Shooting;1;1;
ITA;1972;Equestrian;1;1;1
ITA;1972;Fencing;;2;
ITA;1968;Sailing;2;;
ITA;1968;Cycling;2;1;1
ITA;1968;Athletics;2;;
ITA;1968;Rowing;1;1;
ITA;1968;Fencing;1;;1
ITA;1968;Boxing;1;;
ITA;1968;Shooting;;;1
ITA;1968;Aquatics;;1;1
ITA;1956;Weightlifting;2;;
ITA;1956;Fencing;2;3;2
ITA;1956;Wrestling;1;;1
ITA;1956;Shooting;1;1;
ITA;1956;Equestrian;1;;2
ITA;1956;Cycling;1;3;1
ITA;1956;Boxing;1;;1
ITA;1956;Sailing;;;1
ITA;1956;Rowing;;1;
ITA;1992;Shooting;2;;
ITA;1992;Aquatics;2;1;
ITA;1992;Rowing;1;;1
ITA;1992;Modern Pentathlon;1;;
ITA;1992;Canoe / Kayak;1;1;
ITA;1992;Athletics;1;;
ITA;1992;Wrestling;;;1
ITA;1992;Judo;;;1
ITA;1992;Fencing;;2;1
ITA;1992;Cycling;;2;1
ITA;1948;Wrestling;2;1;
ITA;1948;Rowing;2;1;1
ITA;1948;Boxing;2;1;2
ITA;1948;Fencing;1;1;4
ITA;1948;Athletics;1;1;3
ITA;1948;Cycling;;2;1
ITA;1948;Aquatics;;1;
ITA;1964;Boxing;3;2;
ITA;1964;Gymnastics;1;1;1
ITA;1964;Fencing;1;;2
ITA;1964;Equestrian;1;2;
ITA;1964;Athletics;1;1;
ITA;1964;Shooting;;1;
ITA;1964;Rowing;;;1
ITA;1964;Cycling;;3;5
ITA;1964;Aquatics;;;1
ITA;1928;Wrestling;2;;
ITA;1928;Fencing;2;1;1
ITA;1928;Rowing;1;1;
ITA;1928;Football;1;;
ITA;1928;Boxing;1;3;
ITA;1928;Weightlifting;;;2
ITA;1928;Gymnastics;;;2
ITA;1928;Cycling;;1;
ITA;1936;Fencing;2;4;3
ITA;1936;Athletics;2;1;2
ITA;1936;Modern Pentathlon;1;;
ITA;1936;Sailing;;1;
ITA;1936;Rowing;;;2
ITA;1936;Football;;1;
ITA;1936;Cycling;;;1
ITA;1936;Boxing;;1;1
ITA;1924;Tennis;1;;
ITA;1924;Rowing;1;;1
ITA;1924;Gymnastics;1;2;
ITA;1924;Fencing;1;1;
ITA;1924;Equestrian;1;;1
ITA;1924;Weightlifting;;3;
ITA;1924;Cycling;;1;
ITA;1924;Athletics;;1;1
ITA;1988;Fencing;2;1;1
ITA;1988;Athletics;1;1;1
ITA;1988;Aquatics;1;;
ITA;1988;Wrestling;;1;
ITA;1988;Rowing;;2;
ITA;1988;Modern Pentathlon;;;2
ITA;1988;Boxing;;1;
ITA;1980;Sailing;1;;
ITA;1980;Athletics;1;3;
ITA;1980;Archery;1;;
ITA;1980;Aquatics;1;;
ITA;1980;Wrestling;;1;
ITA;1980;Shooting;;1;
ITA;1980;Judo;;1;
ITA;1980;Fencing;;;1
ITA;1980;Equestrian;;1;1
ITA;1980;Boxing;;1;
ITA;1980;Basketball;;;1
ITA;1976;Shooting;2;;
ITA;1976;Judo;1;;
ITA;1976;Archery;1;;
ITA;1976;Fencing;;1;3
ITA;1976;Cycling;;;1
ITA;1976;Athletics;;;1
ITA;1976;Aquatics;;1;2
ITA;1952;Fencing;1;3;4
ITA;1952;Cycling;1;2;2
ITA;1952;Boxing;1;1;1
ITA;1952;Aquatics;1;;
ITA;1952;Wrestling;;;1
ITA;1952;Sailing;;1;
ITA;1952;Athletics;;1;1
ITA;1920;Athletics;2;2;
ITA;1920;Equestrian;1;1;2
ITA;1920;Boxing;1;;
ITA;1920;Weightlifting;;1;1
ITA;1920;Rowing;;1;1
ITA;1920;Gymnastics;;2;
ITA;1920;Fencing;;5;1
ITA;1920;Cycling;;1;
ITA;1912;Gymnastics;1;2;
ITA;1912;Athletics;1;;
ITA;1912;Fencing;;1;1
ITA;1908;Wrestling;;1;
ITA;1908;Gymnastics;;1;
ITA;1908;Fencing;;;1
ITA;1908;Athletics;;;1
ITA;1900;Fencing;;1;1
ITA;1900;Equestrian;;1;1
AUS;1996;Aquatics;6;2;4
AUS;1996;Cycling;4;;1
AUS;1996;Rowing;3;2;1
AUS;1996;Canoe / Kayak;3;;
AUS;1996;Weightlifting;1;;
AUS;1996;Volleyball;1;;
AUS;1996;Softball;1;;
AUS;1996;Shooting;1;2;
AUS;1996;Sailing;1;;1
AUS;1996;Hockey;1;1;
AUS;1996;Basketball;1;;
AUS;1996;Tennis;;1;
AUS;1996;Equestrian;;1;
AUS;1996;Athletics;;;2
AUS;2008;Aquatics;9;7;7
AUS;2008;Canoe / Kayak;3;1;1
AUS;2008;Triathlon;1;1;
AUS;2008;Softball;1;;
AUS;2008;Shooting;1;;
AUS;2008;Hockey;1;;
AUS;2008;Athletics;1;1;2
AUS;2008;Sailing;;2;1
AUS;2008;Rowing;;2;1
AUS;2008;Equestrian;;;1
AUS;2008;Cycling;;;1
AUS;2008;Basketball;;;1
AUS;2000;Aquatics;6;6;9
AUS;2000;Cycling;3;1;2
AUS;2000;Rowing;2;;3
AUS;2000;Softball;1;;
AUS;2000;Shooting;1;1;1
AUS;2000;Sailing;1;2;1
AUS;2000;Judo;1;;
AUS;2000;Hockey;1;1;
AUS;2000;Canoe / Kayak;1;;1
AUS;2000;Volleyball;;1;
AUS;2000;Triathlon;;;1
AUS;2000;Tennis;;;1
AUS;2000;Taekwondo;;1;1
AUS;2000;Gymnastics;;;1
AUS;2000;Equestrian;;1;1
AUS;2000;Basketball;;;1
AUS;2000;Athletics;;1;2
AUS;2000;Archery;;1;
AUS;2004;Aquatics;7;8;6
AUS;2004;Rowing;2;1;1
AUS;2004;Cycling;2;6;2
AUS;2004;Athletics;2;;1
AUS;2004;Tennis;1;;
AUS;2004;Shooting;1;1;
AUS;2004;Archery;1;;
AUS;2004;Triathlon;;;1
AUS;2004;Softball;;;1
AUS;2004;Hockey;;1;
AUS;2004;Canoe / Kayak;;;2
AUS;2004;Basketball;;;1
AUS;2004;Baseball;;;1
AUS;1956;Athletics;6;4;2
AUS;1956;Rowing;2;;1
AUS;1956;Aquatics;2;8;4
AUS;1956;Sailing;1;;1
AUS;1956;Cycling;1;1;
AUS;1956;Canoe / Kayak;1;;
AUS;1956;Boxing;1;;
AUS;2012;Aquatics;4;1;7
AUS;2012;Cycling;3;1;1
AUS;2012;Rowing;2;;3
AUS;2012;Triathlon;1;;
AUS;2012;Field hockey;1;;
AUS;2012;Basketball;1;;
AUS;2012;Sailing;;3;1
AUS;2012;Canoe / Kayak;;1;1
AUS;2012;BMX;;;1
AUS;2012;Athletics;;1;2
AUS;1984;Aquatics;6;1;5
AUS;1984;Rowing;2;;1
AUS;1984;Shooting;1;;
AUS;1984;Sailing;1;;
AUS;1984;Canoe / Kayak;1;;
AUS;1984;Athletics;1;1;1
AUS;1984;Weightlifting;;1;1
AUS;1984;Cycling;;1;
AUS;1992;Aquatics;5;1;3
AUS;1992;Sailing;2;;
AUS;1992;Athletics;2;;
AUS;1992;Tennis;1;;
AUS;1992;Canoe / Kayak;1;1;1
AUS;1992;Rowing;;2;
AUS;1992;Hockey;;;1
AUS;1992;Equestrian;;2;
AUS;1992;Cycling;;1;4
AUS;1964;Athletics;4;1;1
AUS;1964;Aquatics;4;4;1
AUS;1964;Judo;1;;
AUS;1964;Hockey;1;;
AUS;1964;Sailing;;1;
AUS;1960;Aquatics;3;5;5
AUS;1960;Boxing;2;;
AUS;1960;Athletics;1;1;2
AUS;1960;Equestrian;;2;1
AUS;1988;Cycling;2;;2
AUS;1988;Tennis;1;;
AUS;1988;Canoe / Kayak;1;;1
AUS;1988;Aquatics;1;1;1
AUS;1988;Hockey;;1;
AUS;1988;Boxing;;;1
AUS;1988;Athletics;;1;1
AUS;1980;Aquatics;5;2;
AUS;1980;Canoe / Kayak;;;1
AUS;1980;Athletics;;;1
AUS;1968;Aquatics;3;3;2
AUS;1968;Equestrian;1;;
AUS;1968;Athletics;1;2;3
AUS;1968;Rowing;;;1
AUS;1968;Hockey;;;1
AUS;1948;Athletics;2;1;3
AUS;1948;Aquatics;2;;2
AUS;1948;Wrestling;1;;1
AUS;1948;Rowing;;1;
AUS;1976;Sailing;2;;
AUS;1976;Equestrian;1;;
AUS;1976;Aquatics;1;;
AUS;1976;Hockey;;;1
AUS;1952;Weightlifting;1;;
AUS;1952;Rowing;1;;1
AUS;1952;Athletics;1;3;
AUS;1952;Cycling;;2;1
AUS;1952;Aquatics;;1;
AUS;1900;Athletics;3;;
AUS;1900;Aquatics;;2;
AUS;1972;Aquatics;2;6;2
AUS;1972;Sailing;;2;
AUS;1972;Cycling;;;3
AUS;1972;Athletics;;;2
AUS;1924;Aquatics;2;2;1
AUS;1924;Athletics;;1;
AUS;1936;Athletics;1;;
AUS;1932;Wrestling;1;;
AUS;1932;Rowing;;1;
AUS;1932;Cycling;;1;
AUS;1932;Aquatics;;1;1
AUS;1928;Cycling;1;;
AUS;1928;Rowing;;1;
AUS;1928;Aquatics;;;2
AUS;1920;Aquatics;1;;1
AUS;1920;Athletics;;;1
AUS;1896;Athletics;;2;
SWE;1920;Athletics;10;1;3
SWE;1920;Aquatics;4;3;4
SWE;1920;Shooting;3;1;6
SWE;1920;Wrestling;2;3;1
SWE;1920;Weightlifting;2;;
SWE;1920;Equestrian;2;3;
SWE;1920;Modern Pentathlon;1;1;1
SWE;1920;Skating;;2;1
SWE;1920;Sailing;;2;1
SWE;1920;Gymnastics;;1;
SWE;1920;Cycling;;1;1
SWE;1948;Athletics;5;5;3
SWE;1948;Wrestling;3;5;5
SWE;1948;Shooting;3;;
SWE;1948;Equestrian;2;;1
SWE;1948;Weightlifting;1;;
SWE;1948;Sailing;1;;1
SWE;1948;Modern Pentathlon;1;1;
SWE;1948;Fencing;1;;
SWE;1948;Football;;1;
SWE;1948;Canoe / Kayak;;4;
SWE;1948;Boxing;;;1
SWE;1912;Athletics;6;4;5
SWE;1912;Shooting;4;7;6
SWE;1912;Aquatics;2;3;4
SWE;1912;Wrestling;1;1;2
SWE;1912;Tennis;1;;2
SWE;1912;Sailing;1;1;2
SWE;1912;Modern Pentathlon;1;1;1
SWE;1912;Equestrian;1;4;1
SWE;1912;Tug of War;;1;
SWE;1912;Rowing;;;1
SWE;1912;Gymnastics;;1;
SWE;1912;Cycling;;1;
SWE;1928;Athletics;4;1;2
SWE;1928;Equestrian;2;;1
SWE;1928;Cycling;2;;
SWE;1928;Aquatics;2;1;
SWE;1928;Sailing;1;1;
SWE;1928;Boxing;1;;1
SWE;1928;Wrestling;;3;1
SWE;1928;Modern Pentathlon;;1;1
SWE;1924;Aquatics;3;;3
SWE;1924;Shooting;2;;2
SWE;1924;Athletics;2;;3
SWE;1924;Wrestling;1;1;2
SWE;1924;Modern Pentathlon;1;1;1
SWE;1924;Football;1;;
SWE;1924;Fencing;1;;
SWE;1924;Cycling;1;;
SWE;1924;Equestrian;;2;2
SWE;1952;Sailing;2;;1
SWE;1952;Athletics;2;1;
SWE;1952;Aquatics;2;;
SWE;1952;Wrestling;1;3;4
SWE;1952;Shooting;1;;2
SWE;1952;Football;1;;
SWE;1952;Boxing;1;;1
SWE;1952;Modern Pentathlon;;1;1
SWE;1952;Gymnastics;;2;
SWE;1952;Fencing;;;1
SWE;1952;Equestrian;;4;
SWE;1952;Canoe / Kayak;;1;3
SWE;1908;Athletics;3;2;
SWE;1908;Aquatics;3;1;1
SWE;1908;Tennis;2;;
SWE;1908;Skating;1;1;1
SWE;1908;Shooting;1;2;2
SWE;1908;Wrestling;;1;1
SWE;1908;Sailing;;;1
SWE;1908;Gymnastics;;1;
SWE;1936;Wrestling;2;4;3
SWE;1936;Athletics;2;;
SWE;1936;Shooting;1;1;
SWE;1936;Sailing;1;;1
SWE;1936;Equestrian;1;;
SWE;1936;Canoe / Kayak;1;1;
SWE;1936;Boxing;1;;
SWE;1936;Fencing;;;1
SWE;1932;Wrestling;3;6;1
SWE;1932;Equestrian;2;;1
SWE;1932;Cycling;2;;
SWE;1932;Sailing;1;1;
SWE;1932;Boxing;1;;1
SWE;1932;Shooting;;1;
SWE;1932;Modern Pentathlon;;1;1
SWE;1932;Athletics;;;1
SWE;1988;Tennis;2;;
SWE;1988;Wrestling;1;;
SWE;1988;Table Tennis;1;;
SWE;1988;Cycling;1;;
SWE;1988;Boxing;1;;1
SWE;1988;Athletics;1;;
SWE;1988;Shooting;;;1
SWE;1988;Sailing;;;1
SWE;1988;Aquatics;;;1
SWE;1984;Wrestling;2;;2
SWE;1984;Aquatics;2;;
SWE;1984;Equestrian;1;;
SWE;1984;Athletics;1;;2
SWE;1984;Shooting;;;1
SWE;1984;Modern Pentathlon;;;1
SWE;1984;Fencing;;;1
SWE;1984;Canoe / Kayak;;2;4
SWE;1980;Wrestling;2;;
SWE;1980;Shooting;1;;1
SWE;1980;Sailing;1;;
SWE;1980;Modern Pentathlon;1;;
SWE;1980;Aquatics;1;2;2
SWE;1980;Fencing;;1;
SWE;1972;Equestrian;2;;
SWE;1972;Wrestling;1;;1
SWE;1972;Weightlifting;1;;
SWE;1972;Boxing;1;;
SWE;1972;Athletics;1;;
SWE;1972;Shooting;;1;
SWE;1972;Sailing;;;2
SWE;1972;Canoe / Kayak;;;1
SWE;1972;Archery;;;1
SWE;1972;Aquatics;;3;1
SWE;1956;Wrestling;3;;1
SWE;1956;Shooting;1;;1
SWE;1956;Gymnastics;1;;2
SWE;1956;Athletics;1;;
SWE;1956;Sailing;;2;
SWE;1956;Rowing;;;1
SWE;1956;Modern Pentathlon;;1;
SWE;1956;Equestrian;;3;
SWE;1956;Canoe / Kayak;;2;
SWE;1992;Wrestling;1;;1
SWE;1992;Shooting;1;;
SWE;1992;Canoe / Kayak;1;;2
SWE;1992;Aquatics;1;;2
SWE;1992;Table Tennis;;1;
SWE;1992;Handball;;;1
SWE;1992;Athletics;;;1
SWE;1964;Wrestling;1;;1
SWE;1964;Sailing;1;;1
SWE;1964;Cycling;1;;
SWE;1964;Athletics;1;;
SWE;1964;Canoe / Kayak;;2;
SWE;2000;Sailing;1;;
SWE;2000;Athletics;1;;
SWE;2000;Aquatics;1;1;2
SWE;2000;Wrestling;;1;
SWE;2000;Table Tennis;;;1
SWE;2000;Shooting;;2;
SWE;2000;Handball;;;1
SWE;2000;Canoe / Kayak;;;1
SWE;1960;Wrestling;2;;
SWE;1960;Canoe / Kayak;1;1;
